Time (s) Auto,Angle (rad) Run #3
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,-0.01745329
0.62,0
0.64,0.01745329
0.66,0.05235987
0.68,0.08726645
0.7,0.13962632
0.72,0.22689277
0.74,0.31415922
0.76,0.41887896
0.78,0.54105199
0.8,0.68067831
0.82,0.82030463
0.84,0.99483753
0.86,1.16937043
0.88,1.36135662
0.9,1.5707961
0.92,1.78023558
0.94,2.00712835
0.96,2.2689277
0.98,2.51327376
1,2.7925264
1.02,3.07177904
1.04,3.36848497
1.06,3.68264419
1.08,3.99680341
1.1,4.32841592
1.12,4.67748172
1.14,5.02654752
1.16,5.39306661
1.18,5.7595857
1.2,6.14355808
1.22,6.54498375
1.24,6.94640942
1.26,7.34783509
1.28,7.76671405
1.3,8.2030463
1.32,8.63937855
1.34,9.09316409
1.36,9.54694963
1.38,10.00073517
1.4,10.471974
1.42,10.94321283
1.44,11.43190495
1.46,11.92059707
1.48,12.40928919
1.5,12.89798131
1.52,13.40412672
1.54,13.91027213
1.56,14.41641754
1.58,14.94001624
1.6,15.44616165
1.62,15.96976035
1.64,16.49335905
1.66,17.01695775
1.68,17.54055645
1.7,18.08160844
1.72,18.60520714
1.74,19.12880584
1.76,19.65240454
1.78,20.17600324
1.8,20.69960194
1.82,21.24065393
1.84,21.76425263
1.86,22.28785133
1.88,22.79399674
1.9,23.31759544
1.92,23.84119414
1.94,24.34733955
1.96,24.85348496
1.98,25.35963037
2,25.84832249
2.02,26.33701461
2.04,26.82570673
2.06,27.31439885
2.08,27.78563768
2.1,28.25687651
2.12,28.72811534
2.14,29.18190088
2.16,29.63568642
2.18,30.07201867
2.2,30.50835092
2.22,30.94468317
2.24,31.36356213
2.26,31.7649878
2.28,32.16641347
2.3,32.55038585
2.32,32.93435823
2.34,33.30087732
2.36,33.66739641
2.38,34.01646221
2.4,34.34807472
2.42,34.67968723
2.44,34.99384645
2.46,35.29055238
2.48,35.58725831
2.5,35.86651095
2.52,36.14576359
2.54,36.40756294
2.56,36.651909
2.58,36.87880177
2.6,37.10569454
2.62,37.29768073
2.64,37.50712021
2.66,37.68165311
2.68,37.85618601
2.7,37.99581233
2.72,38.15289194
2.74,38.27506497
2.76,38.37978471
2.78,38.48450445
2.8,38.5717709
2.82,38.64158406
2.84,38.71139722
2.86,38.7463038
2.88,38.78121038
2.9,38.79866367
2.92,38.79866367
2.94,38.78121038
2.96,38.76375709
2.98,38.72885051
3,38.67649064
3.02,38.60667748
3.04,38.53686432
3.06,38.43214458
3.08,38.32742484
3.1,38.2227051
3.12,38.08307878
3.14,37.94345246
3.16,37.78637285
3.18,37.61183995
3.2,37.43730705
3.22,37.24532086
3.24,37.03588138
3.26,36.8264419
3.28,36.59954913
3.3,36.35520307
3.32,36.11085701
3.34,35.83160437
3.36,35.56980502
3.38,35.29055238
3.4,34.99384645
3.42,34.67968723
3.44,34.36552801
3.46,34.0339155
3.48,33.70230299
3.5,33.37069048
3.52,33.00417139
3.54,32.65510559
3.56,32.27113321
3.58,31.90461412
3.6,31.52064174
3.62,31.11921607
3.64,30.7177904
3.66,30.31636473
3.68,29.89748577
3.7,29.47860681
3.72,29.05972785
3.74,28.6233956
3.76,28.18706335
3.78,27.73327781
3.8,27.29694556
3.82,26.84316002
3.84,26.37192119
3.86,25.91813565
3.88,25.46435011
3.9,24.99311128
3.92,24.52187245
3.94,24.05063362
3.96,23.57939479
3.98,23.10815596
4,22.63691713
4.02,22.14822501
4.04,21.67698618
4.06,21.20574735
4.08,20.71705523
4.1,20.2458164
4.12,19.77457757
4.14,19.30333874
4.16,18.83209991
4.18,18.36086108
4.2,17.88962225
4.22,17.41838342
4.24,16.96459788
4.26,16.49335905
4.28,16.03957351
4.3,15.58578797
