Time (s) Auto,Angle (rad) Run #1
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0.017
0.32,0.017
0.34,0.017
0.36,0.017
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0.017
0.52,0.017
0.54,0.017
0.56,0.017
0.58,0
0.6,0.017
0.62,0.017
0.64,0.017
0.66,0.017
0.68,0.017
0.7,0.017
0.72,0.017
0.74,0.017
0.76,0.017
0.78,0.017
0.8,0.017
0.82,0.017
0.84,0.017
0.86,0.017
0.88,0.017
0.9,0.017
0.92,0.07
0.94,0.122
0.96,0.157
0.98,0.209
1,0.262
1.02,0.332
1.04,0.419
1.06,0.506
1.08,0.593
1.1,0.716
1.12,0.838
1.14,0.96
1.16,1.1
1.18,1.239
1.2,1.396
1.22,1.571
1.24,1.745
1.26,1.937
1.28,2.129
1.3,2.321
1.32,2.531
1.34,2.758
1.36,2.985
1.38,3.229
1.4,3.473
1.42,3.718
1.44,3.979
1.46,4.241
1.48,4.52
1.5,4.8
1.52,5.079
1.54,5.376
1.56,5.672
1.58,5.986
1.6,6.301
1.62,6.615
1.64,6.929
1.66,7.261
1.68,7.592
1.7,7.924
1.72,8.273
1.74,8.622
1.76,8.971
1.78,9.32
1.8,9.669
1.82,10.036
1.84,10.385
1.86,10.751
1.88,11.118
1.9,11.484
1.92,11.868
1.94,12.235
1.96,12.601
1.98,12.968
2,13.352
2.02,13.718
2.04,14.085
2.06,14.469
2.08,14.835
2.1,15.202
2.12,15.568
2.14,15.935
2.16,16.301
2.18,16.668
2.2,17.034
2.22,17.401
2.24,17.75
2.26,18.117
2.28,18.466
2.3,18.815
2.32,19.146
2.34,19.495
2.36,19.827
2.38,20.159
2.4,20.473
2.42,20.804
2.44,21.118
2.46,21.415
2.48,21.729
2.5,22.026
2.52,22.323
2.54,22.602
2.56,22.881
2.58,23.161
2.6,23.422
2.62,23.684
2.64,23.928
2.66,24.173
2.68,24.417
2.7,24.644
2.72,24.853
2.74,25.08
2.76,25.272
2.78,25.482
2.8,25.656
2.82,25.848
2.84,26.005
2.86,26.18
2.88,26.32
2.9,26.477
2.92,26.599
2.94,26.721
2.96,26.843
2.98,26.948
3,27.053
3.02,27.122
3.04,27.21
3.06,27.279
3.08,27.332
3.1,27.384
3.12,27.419
3.14,27.437
3.16,27.454
3.18,27.471
3.2,27.471
3.22,27.454
3.24,27.437
3.26,27.402
3.28,27.367
3.3,27.314
3.32,27.245
3.34,27.192
3.36,27.105
3.38,27.018
3.4,26.93
3.42,26.826
3.44,26.704
3.46,26.581
3.48,26.459
3.5,26.32
3.52,26.162
3.54,26.005
3.56,25.848
3.58,25.674
3.6,25.482
3.62,25.307
3.64,25.115
3.66,24.906
3.68,24.696
3.7,24.47
3.72,24.26
3.74,24.016
3.76,23.789
3.78,23.544
3.8,23.283
3.82,23.038
3.84,22.777
3.86,22.497
3.88,22.235
3.9,21.956
3.92,21.677
3.94,21.38
3.96,21.084
3.98,20.787
4,20.49
4.02,20.193
4.04,19.879
4.06,19.565
4.08,19.251
4.1,18.937
4.12,18.623
4.14,18.291
4.16,17.977
4.18,17.645
4.2,17.314
4.22,16.982
4.24,16.65
4.26,16.319
4.28,15.987
4.3,15.656
4.32,15.324
4.34,14.992
4.36,14.661
4.38,14.329
4.4,13.998
4.42,13.666
4.44,13.334
4.46,13.003
4.48,12.689
4.5,12.357
4.52,12.043
4.54,11.729
4.56,11.397
4.58,11.083
4.6,10.786
4.62,10.472
4.64,10.175
4.66,9.861
4.68,9.564
4.7,9.285
4.72,8.988
4.74,8.709
4.76,8.43
4.78,8.151
4.8,7.889
4.82,7.627
4.84,7.383
4.86,7.121
4.88,6.877
4.9,6.65
4.92,6.423
4.94,6.196
4.96,5.969
4.98,5.76
5,5.55
5.02,5.358
5.04,5.166
5.06,4.992
5.08,4.817
5.1,4.643
5.12,4.485
5.14,4.328
5.16,4.189
5.18,4.049
